#Level1	Level2	Level3	unknown	Pathway
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	protein N-glycosylation (eukaryotic, high mannose)	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	menaquinol-8 biosynthesis	MENAQUINONESYN-PWY
Superpathways	Superpathways	unknow	superpathway of S-adenosyl-L-methionine biosynthesis	MET-SAM-PWY
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from acetate	METH-ACETATE-PWY
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methanogenesis from H2 and CO2	METHANOGENESIS-PWY
Generation of Precursor Metabolites and Energy	Respiration	Methanogenesis	methyl-coenzyme M reduction to methane	METHFORM-PWY
Degradation/Utilization/Assimilation	Aldehyde Degradation	Superpathways	superpathway of methylglyoxal degradation	METHGLYUT-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-methionine degradation I (to L-homocysteine)	METHIONINE-DEG1-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	methylgallate degradation	METHYLGALLATE-DEGRADATION-PWY
Biosynthesis	Amino Acid Biosynthesis	METSYN-PWY	unknown	METSYN-PWY
Degradation/Utilization/Assimilation	Aldehyde Degradation	Methylglyoxal Detoxification	methylglyoxal degradation VI	MGLDLCTANA-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	nitrogen fixation I (ferredoxin)	N2FIX-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	NAD salvage pathway II	NAD-BIOSYNTHESIS-II
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	NAD biosynthesis III	NAD-BIOSYNTHESIS-III
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	NAD phosphorylation and dephosphorylation I	NADPHOS-DEPHOS-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	NAD phosphorylation and dephosphorylation II (mammalian)	NADPHOS-DEPHOS-PWY-1
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	NAD biosynthesis II (from tryptophan)	NADSYN-PWY
Biosynthesis	Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis	lipid IVA biosynthesis	NAGLIPASYN-PWY
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	methylerythritol phosphate pathway I	NONMEVIPP-PWY
Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	unknow	pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	nopaline degradation	NOPALINEDEG-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	Entner-Doudoroff pathway II (non-phosphorylative)	NPGLUCAT-PWY
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	O-antigen building blocks biosynthesis (E. coli)	OANTIGEN-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Nitrogen Containing Secondary Compound Degradation	octopine degradation	OCTOPINEDEG-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-ornithine degradation I (L-proline biosynthesis)	ORN-AMINOPENTANOATE-CAT-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	superpathway of L-arginine and L-ornithine degradation	ORNARGDEG-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Superpathways	superpathway of ornithine degradation	ORNDEG-PWY
Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	unknow	pentose phosphate pathway (oxidative branch)	OXIDATIVEPENT-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	unknow	ectoine biosynthesis	P101-PWY
Generation of Precursor Metabolites and Energy	TCA cycle	unknow	TCA cycle IV (2-oxoglutarate decarboxylase)	P105-PWY
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	pyruvate fermentation to propanoate I	P108-PWY
Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Purine Nucleotide Biosynthesis	adenine and adenosine salvage I	P121-PWY
Generation of Precursor Metabolites and Energy	Fermentation	Fermentation of Pyruvate	heterolactic fermentation	P122-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	Bifidobacterium shunt	P124-PWY
Biosynthesis	Other Biosynthesis	Butanediol Biosynthesis	superpathway of (R,R)-butanediol biosynthesis	P125-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	s-Triazine Degredation	atrazine degradation I (aerobic)	P141-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	pyruvate fermentation to acetate I	P142-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	acetylene degradation	P161-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-glutamate degradation V (via hydroxyglutarate)	P162-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine fermentation to acetate and butanoate	P163-PWY
Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	Generation of Precursor Metabolites and Energy	purine nucleobases degradation I (anaerobic)	P164-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Urate Degradation	superpathway of purines degradation in plants	P165-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Nicotine Degradation	nicotine degradation I (pyridine pathway)	P181-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation to 2-oxopent-4-enoate I	P183-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Protocatechuate Degradation	protocatechuate degradation I (meta-cleavage pathway)	P184-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Formaldehyde Assimilation	formaldehyde assimilation III (dihydroxyacetone cycle)	P185-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	citrate lyase activation	P2-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	nitroglycerin degradation	P201-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur disproportionation I (anaerobic)	P203-PWY
Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	unknow	pentose phosphate pathway (partial)	P21-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	octane oxidation	P221-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfide oxidation I (sulfide-quinone reductase)	P222-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	CO2 Fixation	reductive TCA cycle I	P23-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme B biosynthesis	P241-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	coenzyme M biosynthesis I	P261-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	3-phenylpropanoate degradation	P281-PWY
Generation of Precursor Metabolites and Energy	Chemoautotrophic Energy Metabolism	Electron Transfer Chains	nitrite oxidation	P282-PWY
Generation of Precursor Metabolites and Energy	Chemoautotrophic Energy Metabolism	Hydrogen Oxidation	hydrogen oxidation I (aerobic)	P283-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Gallate Degradation	gallate degradation III (anaerobic)	P3-PWY
Generation of Precursor Metabolites and Energy	Chemoautotrophic Energy Metabolism	unknow	galena oxidation	P301-PWY
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	L-sorbose degradation	P302-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	ammonia oxidation II (anaerobic)	P303-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Benzoyl-CoA Degradation	benzoyl-CoA degradation III (anaerobic)	P321-PWY
Generation of Precursor Metabolites and Energy	Glycolysis	unknow	glycolysis V (Pyrococcus)	P341-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	orcinol degradation	P342-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	resorcinol degradation	P343-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Acrylonitrile Degradation	superpathway of acrylonitrile degradation	P344-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	aldoxime degradation	P345-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	adenosylcobalamin biosynthesis II (late cobalt incorporation)	P381-PWY
Biosynthesis	Amino Acid Biosynthesis	Superpathways	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	P4-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	cyanide degradation	P401-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	pyruvate fermentation to acetate and lactate I	P41-PWY
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	CO2 Fixation	incomplete reductive TCA cycle	P42-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Nitroaromatic Compound Degradation	4-nitrotoluene degradation I	P421-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Superpathways	superpathway of N-acetylneuraminate degradation	P441-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	adamantanone degradation	P481-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	arsonoacetate degradation	P482-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	phosphonoacetate degradation	P483-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Betaine Biosynthesis	glycine betaine biosynthesis IV (from glycine)	P541-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Choline Degradation	choline-O-sulfate degradation	P542-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	L-Proline Betaine Degradation	L-proline betaine degradation	P561-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Sugar Derivative Degradation	myo-inositol degradation I	P562-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Thiocyanate Degradation	thiocyanate degradation I	P581-PWY
Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	Terpenoid Degradation	(+)-camphor degradation	P601-PWY
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	nylon-6 oligomer degradation	P621-PWY
Detoxification	Mercury Detoxification	unknow	phenylmercury acetate degradation	P641-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	dibenzo-p-dioxin degradation	P661-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	dibenzofuran degradation	P662-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	phosphopantothenate biosynthesis I	PANTO-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	pantothenate and coenzyme A biosynthesis I	PANTOSYN-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	parathion degradation	PARATHION-DEGRADATION-PWY
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	unknow	tetrachloroethene degradation	PCEDEG-PWY
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	unknow	pentachlorophenol degradation	PCPDEG-PWY
Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	Superpathways	pentose phosphate pathway	PENTOSE-P-PWY
Biosynthesis	Cell Structure Biosynthesis	Cell Wall Biosynthesis	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	PEPTIDOGLYCANSYN-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	phenol degradation II (anaerobic)	PHENOLDEG-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-phenylalanine degradation I (aerobic)	PHENYLALANINE-DEG1-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-phenylalanine biosynthesis I	PHESYN
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	superpathway of phospholipid biosynthesis I (bacteria)	PHOSLIPSYN-PWY
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	superpathway of phospholipid biosynthesis II (plants)	PHOSLIPSYN2-PWY
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-aminoethylphosphonate degradation I	PHOSPHONOTASE-PWY
Generation of Precursor Metabolites and Energy	Photosynthesis	Superpathways	oxygenic photosynthesis	PHOTOALL-PWY
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Enzyme Cofactor Biosynthesis	pyridoxal 5'-phosphate salvage I	PLPSAL-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Superpathways	superpathway of polyamine biosynthesis II	POLYAMINSYN3-PWY
Biosynthesis	Amine and Polyamine Biosynthesis	Superpathways	superpathway of polyamine biosynthesis I	POLYAMSYN-PWY
Biosynthesis	Polyprenyl Biosynthesis	All-trans Polyprenyl Biosynthesis	polyisoprenoid biosynthesis (E. coli)	POLYISOPRENSYN-PWY
Biosynthesis	Metabolic Regulator Biosynthesis	unknow	ppGpp biosynthesis	PPGPPMET-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Fermentation to Acetate	L-alanine fermentation to propanoate and acetate	PROPFERM-PWY
Degradation/Utilization/Assimilation	Carboxylate Degradation	Propanoate Degradation	propanoyl CoA degradation I	PROPIONMET-PWY
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	L-proline biosynthesis I	PROSYN-PWY
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Protocatechuate Degradation	protocatechuate degradation II (ortho-cleavage pathway)	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-proline degradation	PROUT-PWY
Superpathways	Superpathways	unknow	superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Putrescine Degradation	putrescine degradation I	PUTDEG-PWY
Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	Putrescine Degradation	putrescine degradation III	PWY-0
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	lathyrine biosynthesis	PWY-1
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	cellulose biosynthesis	PWY-1001
Generation of Precursor Metabolites and Energy	Electron Transfer Chains	Photosynthesis	photosynthesis light reactions	PWY-101
Activation/Inactivation/Interconversion	Inactivation	Gibberellin Inactivation	gibberellin inactivation I (2&beta,-hydroxylation)	PWY-102
Generation of Precursor Metabolites and Energy	Glycolysis	unknow	glycolysis IV (plant cytosol)	PWY-1042
Biosynthesis	Carbohydrate Biosynthesis	Glycan Biosynthesis	homogalacturonan biosynthesis	PWY-1061
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Polysaccharide Degradation	homogalacturonan degradation	PWY-1081
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	lupeol biosynthesis	PWY-112
Biosynthesis	Cell Structure Biosynthesis	Plant Cell Structures	suberin monomers biosynthesis	PWY-1121
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	coniferin metabolism	PWY-116
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Carbon Disulfide Degradation	carbon disulfide oxidation I (anaerobic)	PWY-1164
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-homomethionine biosynthesis	PWY-1186
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	glucosinolate biosynthesis from homomethionine	PWY-1187
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	pentaketide chromone biosynthesis	PWY-12
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	taurine degradation I	PWY-1263
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	taurine degradation II	PWY-1264
Biosynthesis	Carbohydrate Biosynthesis	Sugar Biosynthesis	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	PWY-1269
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfoacetaldehyde degradation I	PWY-1281
Biosynthesis	Secondary Metabolite Biosynthesis	Xanthone Biosynthesis	superpathway of tetrahydroxyxanthone biosynthesis	PWY-13
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	phenylacetate degradation II (anaerobic)	PWY-1341
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Benzoyl-CoA Degradation	benzoyl-CoA degradation I (aerobic)	PWY-1361
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Fluorene Degradation	fluorene degradation II	PWY-1381
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	unknow	m-xylene degradation (anaerobic)	PWY-142
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	vitamin E biosynthesis (tocopherols)	PWY-1422
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Mandelate Degradation	mandelate degradation I	PWY-1501
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism	superpathway of taurine degradation	PWY-1541
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	plastoquinol-9 biosynthesis I	PWY-1581
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Formaldehyde Assimilation	formaldehyde assimilation I (serine pathway)	PWY-1622
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	methane oxidation to methanol	methane oxidation to methanol I	PWY-1641
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	Methanol Oxidation	methanol and methylamine oxidation to formaldehyde	PWY-1701
